id,Question,optionA,optionB,optionC,optionD,correct_option,Time,Explanation
1026,Which is the first state in the Country to Open a Blood Bank for Cattle?,Goa,Kerala,Odisha,Andhra Pradesh,C,45,Odisha is all set to become the first state in the country to have a blood bank for the cattle. First of its kind blood bank would be established on the premises of OUAT at an estimated cost of Rs. 3.25 crore.The cattle farmers will provide blood voluntarily. The blood bank will also go and collect blood from centres.
1027,TS Vineeth Bhatt has been conferred with the 'Best astrologer of the world' award is belongs to ________.,Karnataka,Kerala,Tamil Nadu,Telangana,D,45,"Telangana's capital Hyderabad based astrologer and numerologist TS Vineeth Bhatt has been conferred with the 'Best astrologer of the world' award at the 'Russian-Indian economic dialogue' round-table meet held in Moscow. He is a personal astrologer to ministers, ambassadors, senators across the globe."
1028,Election Commission Of India joint hands with this social media for Voter Registration Reminder.,Facebook,Twitter,Instagram,LiveChat,A,45,The Election Commission of India has joined hands with Facebook to launch nationwide voter registration reminder aimed at reminding eligible Indian voters to register themselves on the electoral rolls. Facebook will activate a unique 'Register Now' button reminding all the eligible Indian users to enrol themselves as voters. The remainder will be made available for four days beginning July 1.
1029,Which Indian state was conferred with the award of excellence at the 2nd Global Skill Development Summit held in Paris?,Haryana,Odisha,Uttarakhand,Punjab,C,45,Uttarakhand was conferred with the award of excellence at the 2nd Global Skill Development Summit held in Paris recently for innovations and extensive use of IT for skilling the state's youth. Project Director of Uttarakhand Skill Development Committee Pankaj Kumar Pandey received the honour.
1030,What types of Lights are produced by the scientists recently?,X ray lights,Halogen Lights,CFL Lights,Light Emitting Diode (LED) bulbs,A,45,"The Scientists have created the brightest light ever produced on the Earth, shining a billion times stronger than the surface of the Sun. It used a new type of X-ray, capable of taking higher resolution images. These lights are used for the safety purposes."
1031,The weight of GSAT-17 communication Satellite launched by the Indian Space Research Organisation (ISRO) is?,"4,500-kg","4,477-kg","3,499-kg","3,477-kg",D,45,"The Indian Space Research Organisation (ISRO) GSAT-17 communication Satellite onboard the Ariane-5 launch vehicle from the Guiana Space Center at French Guiana. Its weight is about 3,477-kg and will be placed in the Geostationary orbit which has a mission life of 15 years."
1032,How many members are slected for the committee to identify the 'few critical points' for the general body of the cricket board?,5,7,4,9,B,45,"The Board of Control for Cricket in India (BCCI) announced the formation of a special seven-member committee to identify the 'few critical points' for the general body of the cricket board to consider before they are submitted to the Supreme Court. The seven-member committee has Rajeev Shukla, Sourav Ganguly, Naba Bhattacharjee, TC Mathew, Jay Shah,Amitabh Choudhary and Anirudh Chaudhary."
1033,Which country launched its Biggest Naval Destroyer?,South Korea,Sri Lanka,China,Iraq,C,45,"China launched its most powerful naval destroyer, the Type 055, at the Shanghai port. It is one among the largest warships in the world."
1034,With Which country India attended the Sixth Joint Trade Committee Meeting recently?,Mynamar,United States of America,Russia,Japan,A,45,"The Joint Trade Committee plays a key role related to the enhancement of the bilateral economic partnership between India and Mynamar. Myanmar shares a long land border of over 1600 Kms with India as well as a maritime boundary in the Bay of Bengal. The Sixth India - Myanmar Joint Trade Committee (JTC) Meeting co-chaired by Smt. Nirmala Sitharaman, Minister of Commerce & Industry from India and Dr Than Myint, Union Commerce Minister from Myanmar was held in New Delhi."
1035,He is appointed as the National Institute of Fashion Technology (NIFT) chairperson.,Shri Rajesh Varma,Shri Rajesh V. Shah,Shri Narayana Swamy,Shri Sekar raj,B,45,"The Union Government (Ministry of Textiles) appointed Shri Rajesh V. Shah as Chairperson on the Board of Governors of the National Institute of Fashion Technology (NIFT). He has replaced Shri Chetan Chauhan as per the provisions of the National Institute of Fashion Technology Act, 2006."
1036,Donald Trump appointed Indian-American Krishna R as the new United States Ambassador to _________.,Maldives,Grenada,Palau,Peru,D,45,"Donald Trump appointed Indian-American Krishna R as the new United States Ambassador to Peru. He is serving as Charge of Affairs of the United States Embassy in Madrid, Spain."
1037,Which day is celebrated on June 29?,Icelandic National Day,National Doughnut Day,National Cancer Survivors Day,National Statistics Day,D,45,"On June 29, National Statistics Day is celebrated to mark the birth anniversary of Prof. Prasanta Chandra Mahalanobis, a renowned and eminent statistician. The first National Statistics Day was celebrated on 29th June, 2007."
1038,This country becomes 1st to give to UN Tax Fund with $100000 contribution.,Russia,India,China,Japan,B,45,"India has contributed $100,000 to a United Nations fund to help developing countries actively participate in the discussion of tax issues, becoming the first country to make the contribution. The UN Tax Committee a subsidiary body of the UN Economic and Social Council (ESOSOC) provided guidance on current issues such as double taxation treaties."
1039,Which country has officially started building the world's first forest city?,Japan,Singapore,Bhutan,China,D,45,"China has officially started building the world's first forest city in the north of Liuzhou, Guangxi Province to fight against pollution and climate change, which is set to be completed in 2020. It is designed by Stefano Boeri Architetti, a team that develops green projects all around the world. The Liuzhou Forest City is expected to absorb nearly 10,000 tonnes of carbon dioxide yearly and produce 900 tonnes of oxygen."
1040,"India's first-ever mega textiles trade event ""Textiles India 2017"" has started in ___________.",Gandhinagar,Surat,Palanpur,Porbandar,A,45,"India's first-ever mega trade event for the textiles sector has inaugurated by the Prime Minister Narendra Modi at Mahatma Mandir in Gandhinagar, Gujarat on June 30, 2017. The event 'Textiles India 2017' has been organised by the Union Ministry of Textiles with an aim to showcase the country as a global sourcing hub and investment destination. The three-day conference is expected to see participation from 2,500 international buyers, over a 1,000 international and domestic exhibitors and several top fashion designers."
1041,"Which union minister has launched a new training programme ""COMMIT"" for State Government officials?",Jitendra Singh,Ravi Shankar Prasad,Arun Jaitley,Prakash Javadekar,A,45,"Minister of State for Development of North Eastern Region Dr Jitendra Singh Personnel, Public Grievances & Pensions, Atomic Energy and Space launched a new training programme Comprehensive Online Modified Modules on Induction Training (COMMIT) for State Government officials. The main objective of this training programme is to improve the public service delivery mechanism and provide citizen-centric administration through capacity building of officials who interact with the citizens on a day-today basis."
1042,"Which state CM launches the establishment of Micro, Small, Medium Entrepreneurs (MSME) Development Corporation recently?",Bihar,Andhra Pradesh,Telangana,Gujarat,B,45,"Andhra Pradesh Chief Minister CM Chandrababu launches the establishment of Micro, Small, Medium Entrepreneurs (MSME) Development Corporation at Vijayawada with a fund of Rs.100 crore on the occasion of International MSME Day. MSME parks would be developed in 100 to 150 acres of land in various districts."
1043,This Indian company has signed pact with Japanese firm Kawasaki Heavy Industries Ltd (KHI) to make steel metro coaches.,Tata Steel,ONGC,BHEL,SAIL,C,45,"The Bharat Heavy Electricals Limited (BHEL) has signed an agreement with Kawasaki Heavy Industries Ltd (KHI) of Japan to manufacture stainless steel coaches and bogies for metro rail. The agreement covers establishing state-of-the-art design, engineering and manufacturing facilities at BHEL using Japanese technology."
