ID,Question,Option A,Option B,Option C,Option D,Correct Option,Timer,explaination
2742,"White patch is seen on the buccal mucosa consisting of
pseudomycelium and chalmydospores with desquamated
epithelium adjacent to it, the patient is suffering from",histoplasmosis,cryptococcosis,candidiasis,coccidionnycosis,C,45,No explanation given
2743,"The micro organism previously present in the Periapical
tissues following obturation",Persist and stimulate the formation of a granuloma,Are eliminated by the natural defenses,Re-enter and re-infect the sterile canal and are removed by surgery,Are eliminated by the medicaments used in endodontic treatment,B,45,No explanation given
2744,Cranioveebral joint does not include:,Occipital condyle,Axis,Atlas,Wings of sphenoid,D,45,"Ans: D. Wings of sphenoid(Ref Gray's 40/e p733)Cranioveebral Joint:Consists of occipital condyles, atlas & axis.Aiculation between cranium & veebral column specialized - To provide a wider range of movement.Functions as a universal joint.Permits horizontal & veical scanning movements of head.Adapted for eye-head co-ordination."
2745,What type of suturing technique is used here,Figure of 8,Direct loop,Horizontal mattress,Vertical mattress,A,45,No explanation given
2746,First step in major connector construction is,Design of the stress bearing areas,Design of the non stress bearing areas,Marking the outline of the strapline,Selection of the strap type,A,45,No explanation given
2747,SI unit of X-ray,Rad,Sv,Gray,Kerma,C,45,No explanation given
2748,Father of statistics,John Snow,John Graunt,MacMahon,John M. Last,B,45,No explanation given
2749,For testing the statistical significance of the difference in heights of school children -,Student's t test,chi-square test,Paired 't' test,ANOVA,D,45,"Student’s t-test:

– Paired Student’s t-test: Comparing means (± SD) in paired data (in same group of individuals before and after an intervention)

Comparison of mean levels can be done by Paired Student’s t - test

– Unpaired Student’s t-test: Comparing means (± SD) in two different group of individuals

ANOVA test (F-test/F-ratio): Comparing means (+ SD) in more than two different group of individuals
Chi-square test (c2-test): Comparing percentage, proportions & fractions in two or more different group of individuals

In the given question, we have to test the statistical significance of the difference in heights of school children; thus mean heights of schools children in different classes/standards/schools will be done Thus, ANOVA test (F - test/ F -ratio) is most suitable."
2750,Odontoblasts are derived from ____________,Undifferentiated mesenchymal cells,Histocytes,Macrophages,Lymphocytes,A,45,No explanation given
2751,The deepest layer of cervical fascia is:,Vertebral,Carotid sheath,Deep fascia,Prevertebral fascia,D,45,"The arrangement of layers from outside to inside is:
a. Pretracheal fascia b. Investing fascia c. Prevertebral fascia
The prevertebral fascia extends medially behind the carotid vessels, where it assists in forming their sheath and passes in front of prevertebral muscles."
2752,A 10–year old male child was presented to the pediatrician for evaluation of a seizure disorder. On examination a vascular plaque was found along the ophthalmic and maxillary divisions of the trigeminal nerve. The mother informed the pediatrician that the lesion was present since birth and there was no change in morphology. The most likely possibility is –,Sturge Weber syndrome,Infantile hemangioma,Congenital hemangioma,Proteus syndrome,A,45,"This child has :


Seizure disorder
Vascular plaque along the ophthalmic and maxillary divisions of trigeminal nerve
Lesion presenting since birth and not chonging in morphology


The diagnosis is sturge weber syndrome.
Sturge weber syndrome is a rare congenital vascular disorder characterized by facial capillary malformation (port wine stain) and associated capillary venous malformation affecting the brain and eye.
It consists of angiomas involving the leptomeninges and skin of face typically in the ophthalmic and maxillary distributions of trigeminal nerve."
2753,Dry heat destroys microorganisms by,Lysis,Oxidation,Hydrolysis of DNA,Coagulation of proteins,B,45,No explanation given
2754,Hyponatremia is defined as a serum Na+ level,< 135 mmol/L,> 135 mmol/L,< 160 mmo/L,< 100 mmo/L,A,45,No explanation given
2755,The cribriform plate connects,Nasal cavity and anterior cranial fossa,Nasal cavity and orbit,Nasal cavity and oral cavity,Anterior cranial fossa and orbit,A,45,"Cribriform plate of ethmoid bone separates the anterior cranial fossa from nasal cavity.
Anteriorly articulates with frontal bone, at frontoethmoidal suture, marked in the median plane as foramen caecum, which is usually blind.
Anteriorly, cribriform plate has midline projection, called crista galli.
On each side of crista galli, there are foramina through which anterior ethmoidal nerve and vessels pass to nasal cavity.
The plate is also perforated by numerous foramina, for the passage of olfactory nerve rootlets."
2756,Which of the following is not a tumor suppressor gene?,pRb,p16,PTCH,c-erbB1,D,45,No explanation given
2757,Which hormone has permissive role in pubey?,Leptin,GnRH,Insulin,GH,B,45,"Pubey means the onset of adult sexual life. Pubey is caused by a gradual increase in GnRH secretion by the pituitary, beginning around 8th year of life. In male and females, the infantile pituitary gland & ovaries are capable of full function if they are appropriately stimulated. However, for reasons not understood, the hypothalamus does not secrete significant quantities of GnRH during childhood. At pubey, the hypothalamus stas secreting pulsatile GnRH, which initiates the other cascading events leading to maturity of the sexual organs and pubey."
2758,In 4-years-old patient S-ECC is present with recurrent gingival swelling and pain in 61 and 62; what will be your   line of treatment:,Endodontic treatment,Restoration,Extraction,Fluoride application,A,45,"In 4-years-old patient S-ECC is present with recurrent gingival swelling and pain in 61 and 62, line of treatment is endodontic treatment."
2759,"A middle-aged woman came to OPD with a twin pregnancy. She already had 2 first trimester aboion and she has a 3 years old female child who was born at the end of ninth month of gestation. Which of the following is her accurate representation? C = gravid, P = para?",G4P1 1+2+1,G4P1 0+1+2,G5P1 2+0+1,G5P0 1+0+2,B,45,"Answer- B. G4P1 0+1+2The nomenclature for this question is bused on a system called GTPAL systemGravida and parity: Gravida denotes o pregnant state both present and past, irrespective of the period of gestation.Parity denotes a state of previous pregnancy beyond the period of bility"
2760,The aspirate from a keratocyst will have:,A low soluble protein content,A high soluble protein content,Cholesterol crystal,inflammatory cells,A,45,No explanation given
2761,Initially compression osteosynthesis was used for:,Malunion,Non union,Reduce length of bone,Increase length of bone,B,45,No explanation given
2762,Property affected due to diameter of nerve fiber/axon?,Conduction velocity,Refractory period,Latency period,Amplitude,A,45,With increasing diameter of nerve fiber leads to increase in its conduction velocity.
2763,"Routine examination of a 17 years old asymptomatic boy reveals sho PR interval, and delta wave on ECG. The least effective measure for the boy would be:",Hotter monitoring,Treadmill stress test,Beta blocker,Reassurance,B,45,Ans.b. Tredmill stress testThis is a case of WPW syndrome. There is no use all treadmill test in these cases as results are often misleading.Holter monitoring would be indicated to detect the development of any arrythmias. Beta-blockers have also been used in asymptomatic cases only as a preventive therapy against the development of PSVT.
2764,A surgeon decides to operate a patient under epidural anesthesia. 3% Xylocaine with adrenaline is used for administering epidural anesthesia. The patient suddenly develops hypotension after 3 minutes of administration. What is the most likely cause for this?,Systemic absorption of the drug,Vasovagal effect,Allergy to the drug preparation,Penetration into the subarachnoid space,D,45,"Ans: D. Penetration into the subarachnoid space(Ref: Miller 7/e p1895: Barash 5/e p1478, 2405)Penetration of drug into the subarachnoid space sholy causes cardiovascular symptoms like hypotension.Systemic absorption of drugs causes neurological symptoms before hypotension.Vasovagal shock occurs immediately, i.e. even before the needle for epidural anesthesia is injected."
2765,"A person after consuming raw eggs presents with weakness, fatigue & hypoglycemia. Doctor gave him vitamin tablets. Which enzyme deficiency is causing hypoglycemia in this patient:",Phosphoenol pyruvate carboxykinase,Pyruvate carboxylase,Glycogen phosphorylase,Glucose 6 phosphatase,B,45,"Raw eggs contain protein Avidin - tightly binds to Biotin (vit B7) and is excreted along with biotin. Biotin is required for all carboxylases. All carboxylases require ATP also. So, enzyme affected is carboxylase which requires Biotin as coenzyme Pyruvate Carboxylase is the first enzyme of gluconeogenesis. Regarding other options: Glycogen Phosphorylase ROLE of Glycogenolysis Requires vitamin B6 (Pyridoxal phosphate0 No relation with glycogen phosphorylase and egg avidin Glucose 6 phosphatase A common enzyme in gluconeogenesis and glycogenolysis Deficiency leads to hypoglycemia and that is called Von Gierke's disease (Type 1 glycogen storage disease). - Von Gierke's disease is the most common glycogen storage disease, especially in children."
2766,Mandibular fossa is a part of:,Mandible bone,Maxilla bone,Sphenoid bone,Temporal bone,D,45,"Mandibular fossa is a part of temporal bone. It along with articular tubercle forms the upper articular surface of TMJ.
Note:Lower articular surface is formed by head of mandible"
